feature,max_absolute_difference,mean_absolute_difference,median_absolute_difference,exact_matches,within_1e-8,within_1e-6,records
width_change,0.0,0.0,0.0,824,824,824,824
mean_iou,1.1102230246251565e-16,5.308590675998928e-17,0.0,824,824,824,824
height_change,0.0,0.0,0.0,824,824,824,824
area_change,0.0,0.0,0.0,824,824,824,824
std_center_x,3.552713678800501e-15,1.834259551151787e-16,0.0,824,824,824,824
std_center_y,3.552713678800501e-15,1.553503819651463e-16,0.0,824,824,824,824
std_iou,9.71445146547012e-17,4.7286477760660264e-17,4.85722573273506e-17,824,824,824,824
middle_mean_width,0.0,0.0,0.0,824,824,824,824
movement_std,4.440892098500626e-16,1.578935202648793e-17,0.0,824,824,824,824
median_movement,2.220446049250313e-16,3.233659295024728e-18,0.0,824,824,824,824
middle_mean_height,0.0,0.0,0.0,824,824,824,824
early_mean_area,0.0,0.0,0.0,824,824,824,824
max_movement,1.7763568394002505e-15,8.515302810231783e-17,0.0,824,824,824,824
early_mean_width,0.0,0.0,0.0,824,824,824,824
middle_mean_area,0.0,0.0,0.0,824,824,824,824
